brand,category,name,volume,price,highMockupPrice,imglink
Fersan,sos,Maltsirkesi,500 ml,19.90₺,22.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062206/09062206-98a90d.jpg
Fersan,sos,Detoxhindistancevizli,500ml,14.90₺,19.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09035747/09035747-018914.jpg
Kühne,sos,Greyfurtluelmasirkesi,500 ml,9.68₺,12.68₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09035744/09035744-d5f998.jpg
Kühne,sos,Balzamiksirke,500 ml,20.96₺,25.96₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06031317/kuhne-balzamik-sirke-500-ml-c03cb1.jpg
Maille,sos,Dijonhardal,200 g,43.95₺,48.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16500163/maille-dijon-hardal-200-gr-1c54e4.jpg
Knorr,sos,Arrabbiataacılıdomatesli,340 g,15.95₺,16.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09102061/09102061-5ad4ce.jpg
Kühne,sos,Barbeküsos,250 ml,16.90₺,20.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16400212/kuhne-barbeku-sos-250-ml-f7e996.jpg
Doğanay,sos,Narelimonsosu,500 ml,4.45₺,9.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08079402/doganay-limon-suyu-500-ml-285824.jpg
Pınar,sos,Ketçap,600 g,8.95₺,12.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16290203/16290203-00e04b.jpg
Doğanay,sos,Üzümsirkesicam,500 cc,6.50₺,10.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06031400/doganay-uzum-sirkesi-cam-500-cc-a43f27.jpg
Vertmont,sos,Akçaağaçşurubu,250 ml,145.00₺,146.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06015194/vertmont-akcaagac-surubu-250-ml-03abc5.jpg
Pınar,sos,Ketçapacılı,420 g,7.65₺,8.65₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16290201/16290201-0d1191.jpg
Knorr,sos,Domateslibolonezmakarna,40 g,5.45₺,10.45₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06041425/06041425-623294.jpg
Jack Daniels,sos,Barbeküsosorjinal,260 g,39.75₺,40.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09102053/09102053-6d149a.jpg
Teptip,sos,Hindistancevizisütü,425 g,20.15₺,21.15₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16400841/teptip-hindistan-cevizi-sutu-425-gr-0712b4.jpg
Kühne,sos,Balzamiklisalatasosu,250 ml,18.90₺,21.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16410085/kuhne-balzamikli-salata-sosu-250-ml-8c9564.jpg
Ferfresh,sos,Konsantrebeyazsirke,500 ml,8.90₺,9.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09035793/09035793-63ae29.jpg
Istiklal Yolu,un,Garikliunu,500g,7.95₺,12.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05010118/05010118-b5147e.jpg
Doğalsan,un,Ekşihamurmayalı,500g,12.50₺,14.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05010128/05010128-139e09.jpg
Doğalsan,un,Ekşimayalıkarşık,500 g,12.50₺,17.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05010125/05010125-322927.jpg
Doğalsan,un,Ekşimayalıtrabzon,500 g,12.50₺,13.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05010126/05010126-b9dbc6.jpg
Doğalsan,un,Siyezekmeğiun,500 g,12.50₺,16.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05010122/05010122-10302e.jpg
Söke,un,Baklavalıkveböreklik,2kg,17.25₺,18.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/46024362/46024362-f7ada8.jpg
Eriş,un,Unbaklavalıkböreklik,1 kg,6.95₺,7.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05016912/05016912-6107b9.jpg
Doğalsan,un,Dinkelunu,500 g,12.50₺,15.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05010123/05010123-696214.jpg
Söke,un,Köyekmeğikarışımı,500 g,8.35₺,9.35₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05016892/05016892-f14497.jpg
Söke,un,Kepekliun,2 kg,17.25₺,22.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05016813/05016813-80c103.jpg
